grid_id,lon,lat
1,97.182526,5.599943
2,97.408806,5.599943
3,97.635086,5.599943
4,97.861359,5.599943
5,98.087639,5.599943
6,98.313911,5.599943
7,98.540192,5.599943
8,98.766464,5.599943
9,98.992744,5.599943
10,99.219017,5.599943
11,99.445297,5.599943
12,99.671577,5.599943
13,99.89785,5.599943
14,100.12413,5.599943
15,100.350403,5.599943
16,100.576683,5.599943
17,100.802956,5.599943
18,101.029236,5.599943
19,101.255516,5.599943
20,101.481789,5.599943
21,101.708069,5.599943
22,101.934341,5.599943
23,102.160622,5.599943
24,102.386894,5.599943
25,102.613174,5.599943
26,102.839447,5.599943
27,103.065727,5.599943
28,103.292007,5.599943
29,103.51828,5.599943
30,103.74456,5.599943
31,103.970833,5.599943
32,104.197113,5.599943
33,104.423386,5.599943
34,104.649666,5.599943
35,104.875938,5.599943
36,105.102219,5.599943
37,105.328499,5.599943
38,105.554771,5.599943
39,105.781052,5.599943
40,97.182526,5.825096
41,97.408806,5.825096
42,97.635086,5.825096
43,97.861359,5.825096
44,98.087639,5.825096
45,98.313911,5.825096
46,98.540192,5.825096
47,98.766464,5.825096
48,98.992744,5.825096
49,99.219017,5.825096
50,99.445297,5.825096
51,99.671577,5.825096
52,99.89785,5.825096
53,100.12413,5.825096
54,100.350403,5.825096
55,100.576683,5.825096
56,100.802956,5.825096
57,101.029236,5.825096
58,101.255516,5.825096
59,101.481789,5.825096
60,101.708069,5.825096
61,101.934341,5.825096
62,102.160622,5.825096
63,102.386894,5.825096
64,102.613174,5.825096
65,102.839447,5.825096
66,103.065727,5.825096
67,103.292007,5.825096
68,103.51828,5.825096
69,103.74456,5.825096
70,103.970833,5.825096
71,104.197113,5.825096
72,104.423386,5.825096
73,104.649666,5.825096
74,104.875938,5.825096
75,105.102219,5.825096
76,105.328499,5.825096
77,105.554771,5.825096
78,105.781052,5.825096
79,97.182526,6.050159
80,97.408806,6.050159
81,97.635086,6.050159
82,97.861359,6.050159
83,98.087639,6.050159
84,98.313911,6.050159
85,98.540192,6.050159
86,98.766464,6.050159
87,98.992744,6.050159
88,99.219017,6.050159
89,99.445297,6.050159
90,99.671577,6.050159
91,99.89785,6.050159
92,100.12413,6.050159
93,100.350403,6.050159
94,100.576683,6.050159
95,100.802956,6.050159
96,101.029236,6.050159
97,101.255516,6.050159
98,101.481789,6.050159
99,101.708069,6.050159
100,101.934341,6.050159
101,102.160622,6.050159
102,102.386894,6.050159
103,102.613174,6.050159
104,102.839447,6.050159
105,103.065727,6.050159
106,103.292007,6.050159
107,103.51828,6.050159
108,103.74456,6.050159
109,103.970833,6.050159
110,104.197113,6.050159
111,104.423386,6.050159
112,104.649666,6.050159
113,104.875938,6.050159
114,105.102219,6.050159
115,105.328499,6.050159
116,105.554771,6.050159
117,105.781052,6.050159
118,97.182526,6.275128
119,97.408806,6.275128
120,97.635086,6.275128
121,97.861359,6.275128
122,98.087639,6.275128
123,98.313911,6.275128
124,98.540192,6.275128
125,98.766464,6.275128
126,98.992744,6.275128
127,99.219017,6.275128
128,99.445297,6.275128
129,99.671577,6.275128
130,99.89785,6.275128
131,100.12413,6.275128
132,100.350403,6.275128
133,100.576683,6.275128
134,100.802956,6.275128
135,101.029236,6.275128
136,101.255516,6.275128
137,101.481789,6.275128
138,101.708069,6.275128
139,101.934341,6.275128
140,102.160622,6.275128
141,102.386894,6.275128
142,102.613174,6.275128
143,102.839447,6.275128
144,103.065727,6.275128
145,103.292007,6.275128
146,103.51828,6.275128
147,103.74456,6.275128
148,103.970833,6.275128
149,104.197113,6.275128
150,104.423386,6.275128
151,104.649666,6.275128
152,104.875938,6.275128
153,105.102219,6.275128
154,105.328499,6.275128
155,105.554771,6.275128
156,105.781052,6.275128
157,97.182526,6.5
158,97.408806,6.5
159,97.635086,6.5
160,97.861359,6.5
161,98.087639,6.5
162,98.313911,6.5
163,98.540192,6.5
164,98.766464,6.5
165,98.992744,6.5
166,99.219017,6.5
167,99.445297,6.5
168,99.671577,6.5
169,99.89785,6.5
170,100.12413,6.5
171,100.350403,6.5
172,100.576683,6.5
173,100.802956,6.5
174,101.029236,6.5
175,101.255516,6.5
176,101.481789,6.5
177,101.708069,6.5
178,101.934341,6.5
179,102.160622,6.5
180,102.386894,6.5
181,102.613174,6.5
182,102.839447,6.5
183,103.065727,6.5
184,103.292007,6.5
185,103.51828,6.5
186,103.74456,6.5
187,103.970833,6.5
188,104.197113,6.5
189,104.423386,6.5
190,104.649666,6.5
191,104.875938,6.5
192,105.102219,6.5
193,105.328499,6.5
194,105.554771,6.5
195,105.781052,6.5
196,97.182526,6.724771
197,97.408806,6.724771
198,97.635086,6.724771
199,97.861359,6.724771
200,98.087639,6.724771
201,98.313911,6.724771
202,98.540192,6.724771
203,98.766464,6.724771
204,98.992744,6.724771
205,99.219017,6.724771
206,99.445297,6.724771
207,99.671577,6.724771
208,99.89785,6.724771
209,100.12413,6.724771
210,100.350403,6.724771
211,100.576683,6.724771
212,100.802956,6.724771
213,101.029236,6.724771
214,101.255516,6.724771
215,101.481789,6.724771
216,101.708069,6.724771
217,101.934341,6.724771
218,102.160622,6.724771
219,102.386894,6.724771
220,102.613174,6.724771
221,102.839447,6.724771
222,103.065727,6.724771
223,103.292007,6.724771
224,103.51828,6.724771
225,103.74456,6.724771
226,103.970833,6.724771
227,104.197113,6.724771
228,104.423386,6.724771
229,104.649666,6.724771
230,104.875938,6.724771
231,105.102219,6.724771
232,105.328499,6.724771
233,105.554771,6.724771
234,105.781052,6.724771
235,97.182526,6.949439
236,97.408806,6.949439
237,97.635086,6.949439
238,97.861359,6.949439
239,98.087639,6.949439
240,98.313911,6.949439
241,98.540192,6.949439
242,98.766464,6.949439
243,98.992744,6.949439
244,99.219017,6.949439
245,99.445297,6.949439
246,99.671577,6.949439
247,99.89785,6.949439
248,100.12413,6.949439
249,100.350403,6.949439
250,100.576683,6.949439
251,100.802956,6.949439
252,101.029236,6.949439
253,101.255516,6.949439
254,101.481789,6.949439
255,101.708069,6.949439
256,101.934341,6.949439
257,102.160622,6.949439
258,102.386894,6.949439
259,102.613174,6.949439
260,102.839447,6.949439
261,103.065727,6.949439
262,103.292007,6.949439
263,103.51828,6.949439
264,103.74456,6.949439
265,103.970833,6.949439
266,104.197113,6.949439
267,104.423386,6.949439
268,104.649666,6.949439
269,104.875938,6.949439
270,105.102219,6.949439
271,105.328499,6.949439
272,105.554771,6.949439
273,105.781052,6.949439
274,97.182526,7.173999
275,97.408806,7.173999
276,97.635086,7.173999
277,97.861359,7.173999
278,98.087639,7.173999
279,98.313911,7.173999
280,98.540192,7.173999
281,98.766464,7.173999
282,98.992744,7.173999
283,99.219017,7.173999
284,99.445297,7.173999
285,99.671577,7.173999
286,99.89785,7.173999
287,100.12413,7.173999
288,100.350403,7.173999
289,100.576683,7.173999
290,100.802956,7.173999
291,101.029236,7.173999
292,101.255516,7.173999
293,101.481789,7.173999
294,101.708069,7.173999
295,101.934341,7.173999
296,102.160622,7.173999
297,102.386894,7.173999
298,102.613174,7.173999
299,102.839447,7.173999
300,103.065727,7.173999
301,103.292007,7.173999
302,103.51828,7.173999
303,103.74456,7.173999
304,103.970833,7.173999
305,104.197113,7.173999
306,104.423386,7.173999
307,104.649666,7.173999
308,104.875938,7.173999
309,105.102219,7.173999
310,105.328499,7.173999
311,105.554771,7.173999
312,105.781052,7.173999
313,97.182526,7.398449
314,97.408806,7.398449
315,97.635086,7.398449
316,97.861359,7.398449
317,98.087639,7.398449
318,98.313911,7.398449
319,98.540192,7.398449
320,98.766464,7.398449
321,98.992744,7.398449
322,99.219017,7.398449
323,99.445297,7.398449
324,99.671577,7.398449
325,99.89785,7.398449
326,100.12413,7.398449
327,100.350403,7.398449
328,100.576683,7.398449
329,100.802956,7.398449
330,101.029236,7.398449
331,101.255516,7.398449
332,101.481789,7.398449
333,101.708069,7.398449
334,101.934341,7.398449
335,102.160622,7.398449
336,102.386894,7.398449
337,102.613174,7.398449
338,102.839447,7.398449
339,103.065727,7.398449
340,103.292007,7.398449
341,103.51828,7.398449
342,103.74456,7.398449
343,103.970833,7.398449
344,104.197113,7.398449
345,104.423386,7.398449
346,104.649666,7.398449
347,104.875938,7.398449
348,105.102219,7.398449
349,105.328499,7.398449
350,105.554771,7.398449
351,105.781052,7.398449
352,97.182526,7.622784
353,97.408806,7.622784
354,97.635086,7.622784
355,97.861359,7.622784
356,98.087639,7.622784
357,98.313911,7.622784
358,98.540192,7.622784
359,98.766464,7.622784
360,98.992744,7.622784
361,99.219017,7.622784
362,99.445297,7.622784
363,99.671577,7.622784
364,99.89785,7.622784
365,100.12413,7.622784
366,100.350403,7.622784
367,100.576683,7.622784
368,100.802956,7.622784
369,101.029236,7.622784
370,101.255516,7.622784
