PROV_CODE,PROV_NAM_T,Province_E,REGI_NAM_T,grid_id,grid_area,TMD_Region
12,นนทบุรี,Nonthaburi,กลาง,1459,142077344.054992,กลาง
12,นนทบุรี,Nonthaburi,กลาง,1497,187041368.400297,กลาง
12,นนทบุรี,Nonthaburi,กลาง,1498,1904294.56452966,กลาง
13,ปทุมธานี,Pathum Thani,กลาง,1459,27920146.7926814,กลาง
13,ปทุมธานี,Pathum Thani,กลาง,1460,65733232.9436272,กลาง
13,ปทุมธานี,Pathum Thani,กลาง,1497,192916888.948436,กลาง
13,ปทุมธานี,Pathum Thani,กลาง,1498,485181791.226827,กลาง
13,ปทุมธานี,Pathum Thani,กลาง,1499,589941592.811688,กลาง
13,ปทุมธานี,Pathum Thani,กลาง,1537,365422.841342359,กลาง
13,ปทุมธานี,Pathum Thani,กลาง,1538,151800798.040316,กลาง
13,ปทุมธานี,Pathum Thani,กลาง,1539,12527740.640946,กลาง
14,พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,กลาง,1497,114276260.024181,กลาง
14,พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,กลาง,1498,108580798.754405,กลาง
14,พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,กลาง,1535,5392633.86636581,กลาง
14,พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,กลาง,1536,550241592.262697,กลาง
14,พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,กลาง,1537,594166198.261872,กลาง
14,พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,กลาง,1538,259545570.741845,กลาง
14,พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,กลาง,1575,222472587.490988,กลาง
14,พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,กลาง,1576,477273264.075564,กลาง
14,พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,กลาง,1577,169948167.415745,กลาง
14,พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,กลาง,1615,55102158.3126038,กลาง
15,อ่างทอง,Ang Thong,กลาง,1574,41407115.0522855,กลาง
15,อ่างทอง,Ang Thong,กลาง,1575,343096221.209503,กลาง
15,อ่างทอง,Ang Thong,กลาง,1576,55709048.386401,กลาง
15,อ่างทอง,Ang Thong,กลาง,1613,51417586.5069135,กลาง
15,อ่างทอง,Ang Thong,กลาง,1614,420271684.706154,กลาง
15,อ่างทอง,Ang Thong,กลาง,1615,42312904.6312126,กลาง
16,ลพบุรี,Lopburi,กลาง,1614,89959.9814385573,กลาง
16,ลพบุรี,Lopburi,กลาง,1615,383353411.420775,กลาง
16,ลพบุรี,Lopburi,กลาง,1616,133185562.626325,กลาง
16,ลพบุรี,Lopburi,กลาง,1617,115871299.621244,กลาง
16,ลพบุรี,Lopburi,กลาง,1653,45287646.0672864,กลาง
16,ลพบุรี,Lopburi,กลาง,1654,589729034.206727,กลาง
16,ลพบุรี,Lopburi,กลาง,1655,590990774.152271,กลาง
16,ลพบุรี,Lopburi,กลาง,1656,541034039.499065,กลาง
16,ลพบุรี,Lopburi,กลาง,1657,293926115.140276,กลาง
16,ลพบุรี,Lopburi,กลาง,1658,344780.952695197,กลาง
16,ลพบุรี,Lopburi,กลาง,1692,15571455.5942585,กลาง
16,ลพบุรี,Lopburi,กลาง,1693,427143771.981324,กลาง
16,ลพบุรี,Lopburi,กลาง,1694,589778813.078595,กลาง
16,ลพบุรี,Lopburi,กลาง,1695,589787935.679049,กลาง
16,ลพบุรี,Lopburi,กลาง,1696,589778813.07855,กลาง
16,ลพบุรี,Lopburi,กลาง,1697,66019061.0026965,กลาง
16,ลพบุรี,Lopburi,กลาง,1732,127084466.226416,กลาง
16,ลพบุรี,Lopburi,กลาง,1733,553605228.68904,กลาง
16,ลพบุรี,Lopburi,กลาง,1734,245085827.306497,กลาง
16,ลพบุรี,Lopburi,กลาง,1735,319864759.549719,กลาง
16,ลพบุรี,Lopburi,กลาง,1736,30537891.7319206,กลาง
16,ลพบุรี,Lopburi,กลาง,1772,89656331.9385301,กลาง
16,ลพบุรี,Lopburi,กลาง,1773,63378.8394057565,กลาง
16,ลพบุรี,Lopburi,กลาง,1774,123732226.120284,กลาง
16,ลพบุรี,Lopburi,กลาง,1775,33046234.5501782,กลาง
16,ลพบุรี,Lopburi,กลาง,1813,15320886.6712749,กลาง
16,ลพบุรี,Lopburi,กลาง,1814,14394137.1598194,กลาง
17,สิงห์บุรี,Singburi,กลาง,1613,11215371.6076742,กลาง
17,สิงห์บุรี,Singburi,กลาง,1614,171739313.858773,กลาง
17,สิงห์บุรี,Singburi,กลาง,1615,15342038.3239562,กลาง
17,สิงห์บุรี,Singburi,กลาง,1652,45068966.6415391,กลาง
