"affiliation","term","vip","percent_vip","r_squared"
"สพป. ศรีสะเกษ เขต 1","Infrastructure & Connectivity",1.3888767847437409,100.00000000000001,1.9604473471649069
"สพป. ศรีสะเกษ เขต 1","Poor Family",0.3765125921856646,27.10914289312815,1.9604473471649069
"สพป. ศรีสะเกษ เขต 1","School Distance",0.7789332893610592,56.08368560244735,1.9604473471649069
"สพป. ศรีสะเกษ เขต 1","School Size",0.7074458049270287,29.317546899410495,1.9604473471649069
"สพป. ศรีสะเกษ เขต 1","Student Level",0.34482888211638685,24.827895887107843,1.9604473471649069
"สพป.กระบี่","Hard to Reach",1.475701460492396,46.61194821766923,8.604549484114504
"สพป.กระบี่","Infrastructure & Connectivity",0.39066876444794185,12.339780576372288,8.604549484114504
"สพป.กระบี่","Poor Family",0.9404599851741974,29.705650704650466,8.604549484114504
"สพป.กระบี่","School Distance",1.2210424586153372,38.568212728855606,8.604549484114504
"สพป.กระบี่","School Size",5.841573277855071,100.00000000000001,8.604549484114504
"สพป.กระบี่","Student Level",0.9491324866755131,29.979582933979636,8.604549484114504
"สพป.กรุงเทพมหานคร","Infrastructure & Connectivity",0.44034928640334836,15.824790473426095,25.415851522031947
"สพป.กรุงเทพมหานคร","School Distance",0.7404479657033479,26.609408202826543,25.415851522031947
"สพป.กรุงเทพมหานคร","School Size",3.596284244355825,52.71930734277178,25.415851522031947
"สพป.กรุงเทพมหานคร","Student Level",3.788941129456515,100,25.415851522031947
"สพป.กาญจนบุรี เขต 1","Hard to Reach",5.137526132395829,100,12.292395010996612
"สพป.กาญจนบุรี เขต 1","Infrastructure & Connectivity",1.6440104071424027,45.277764078389986,12.292395010996612
"สพป.กาญจนบุรี เขต 1","Poor Family",1.728031308888708,47.59178748748467,12.292395010996612
"สพป.กาญจนบุรี เขต 1","School Distance",0.9029262898015645,24.86753329066367,12.292395010996612
"สพป.กาญจนบุรี เขต 1","School Size",0.4898954981176452,10.575933394491615,12.292395010996612
"สพป.กาญจนบุรี เขต 1","Student Level",0.8555999456361133,23.56411633143612,12.292395010996612
"สพป.กาญจนบุรี เขต 2","Infrastructure & Connectivity",1.0205001328526722,100,1.8044471557067399
"สพป.กาญจนบุรี เขต 2","Poor Family",0.778111224078053,76.24802770999615,1.8044471557067399
"สพป.กาญจนบุรี เขต 2","School Distance",0.26647720530780045,26.11241260330843,1.8044471557067399
"สพป.กาญจนบุรี เขต 2","School Size",0.18254636133164814,17.887931167766155,1.8044471557067399
"สพป.กาญจนบุรี เขต 2","Student Level",0.42016730279742665,41.17268477201517,1.8044471557067399
"สพป.กาญจนบุรี เขต 3","Hard to Reach",3.5251203860446734,82.76431880354586,13.613446083679323
"สพป.กาญจนบุรี เขต 3","Infrastructure & Connectivity",0.4817148483502998,27.62777418599097,13.613446083679323
"สพป.กาญจนบุรี เขต 3","Poor Family",1.7435890604410678,100.00000000000001,13.613446083679323
"สพป.กาญจนบุรี เขต 3","School Distance",0.3348709116585391,19.20583922302359,13.613446083679323
"สพป.กาญจนบุรี เขต 3","School Size",0.9198469114011424,48.95788555990086,13.613446083679323
"สพป.กาญจนบุรี เขต 3","Student Level",0.6503409636994174,37.29898164966139,13.613446083679323
"สพป.กาญจนบุรี เขต 4","Infrastructure & Connectivity",1.635363501002291,84.10108172151415,7.484424805861043
"สพป.กาญจนบุรี เขต 4","Poor Family",0.8775862041427683,45.131219467139715,7.484424805861043
"สพป.กาญจนบุรี เขต 4","School Distance",1.0396158067058527,53.463840831203854,7.484424805861043
"สพป.กาญจนบุรี เขต 4","School Size",1.9445213634915042,100,7.484424805861043
"สพป.กาญจนบุรี เขต 4","Student Level",1.5411461461449836,79.25580942848391,7.484424805861043
"สพป.กาฬสินธุ์ เขต 1","Infrastructure & Connectivity",1.492911388100195,59.9798306228894,4.990907984855203
"สพป.กาฬสินธุ์ เขต 1","Poor Family",1.0900632635654197,43.79483634329401,4.990907984855203
"สพป.กาฬสินธุ์ เขต 1","School Distance",1.0776816132759943,43.297385996869465,4.990907984855203
"สพป.กาฬสินธุ์ เขต 1","School Size",4.77235406738178,100,4.990907984855203
"สพป.กาฬสินธุ์ เขต 1","Student Level",0.6574467463088268,26.413854701285615,4.990907984855203
"สพป.กาฬสินธุ์ เขต 2","Infrastructure & Connectivity",1.782062423648872,83.91964864786775,4.887553160288038
"สพป.กาฬสินธุ์ เขต 2","Poor Family",1.7662954361552472,83.17716059967071,4.887553160288038
"สพป.กาฬสินธุ์ เขต 2","School Distance",1.1040813517895285,51.992633866958286,4.887553160288038
"สพป.กาฬสินธุ์ เขต 2","School Size",2.123534181043251,100,4.887553160288038
"สพป.กาฬสินธุ์ เขต 2","Student Level",0.5140330518547546,24.20648824226696,4.887553160288038
"สพป.กาฬสินธุ์ เขต 3","Infrastructure & Connectivity",2.5300836203429102,83.15276396473507,7.145950339681728
"สพป.กาฬสินธุ์ เขต 3","Poor Family",3.0426933510182703,100,7.145950339681728
"สพป.กาฬสินธุ์ เขต 3","School Distance",0.24925626773549706,8.19196149530089,7.145950339681728
"สพป.กาฬสินธุ์ เขต 3","School Size",0.34221870893115675,10.198874653789476,7.145950339681728
"สพป.กาฬสินธุ์ เขต 3","Student Level",0.649589841641486,21.349172154469453,7.145950339681728
"สพป.กำแพงเพชร เขต 1","Infrastructure & Connectivity",0.8073317808482633,42.563078375362146,4.760299157252634
"สพป.กำแพงเพชร เขต 1","Poor Family",0.9743178428365479,51.36669668025862,4.760299157252634
"สพป.กำแพงเพชร เขต 1","School Distance",0.7480220284250944,39.43622805100321,4.760299157252634
