"affiliation","avg_risk","median_risk","sd_risk"
"สพป.มุกดาหาร",0.6942828072022035,0.6828573686555633,0.06489143823135597
"สพป.ยะลา เขต 1",0.7067402605165346,0.689521922196156,0.07636402449634079
"สพป.ยะลา เขต 2",0.7970813695126853,0.8037927563003975,0.07854184794190676
"สพป.ยะลา เขต 3",0.7546219260302677,0.7731036398971589,0.07429084350784336
"สพป.ยโสธร เขต 1",0.6754045328069773,0.6596751970194487,0.06183507933856591
"สพป.ยโสธร เขต 2",0.6938433284586677,0.6789092710652552,0.07675660259671596
"สพป.ระนอง",0.6989767381708512,0.6902729645959659,0.0754418046791331
"สพป.ระยอง เขต 1",0.654625997304527,0.6480565314154022,0.041877371660621804
"สพป.ระยอง เขต 2",0.657171203708745,0.6485672055557465,0.047678992761477475
"สพป.ราชบุรี เขต 1",0.7048118979529817,0.6805342967678601,0.0741917694519639
"สพป.ราชบุรี เขต 2",0.6978499094686182,0.6841851786005826,0.07176083297114981
"สพป.ร้อยเอ็ด เขต 1",0.7207976290756665,0.7250008231873953,0.07105809886450143
"สพป.ร้อยเอ็ด เขต 2",0.6847065722955044,0.6722352774779401,0.0641862773501384
"สพป.ร้อยเอ็ด เขต 3",0.6797043403953272,0.6611019891017963,0.07071499406521685
"สพป.ลพบุรี เขต 1",0.695927848342283,0.6799212385675031,0.06280562871133627
"สพป.ลพบุรี เขต 2",0.709336973514419,0.6943098769675428,0.08708160330569115
"สพป.ลำปาง เขต 1",0.7252669597459941,0.709002896428627,0.10385090138704017
"สพป.ลำปาง เขต 2",0.7025113064048897,0.6891648122085412,0.08373682977056882
"สพป.ลำปาง เขต 3",0.6951871362189458,0.6722803823902718,0.0782139109235374
"สพป.ลำพูน เขต 1",0.6783706359099038,0.6677366958994555,0.059246818515804774
"สพป.ศรีสะเกษ เขต 2",0.6860557639536214,0.6691960926649193,0.05887522873337359
"สพป.ศรีสะเกษ เขต 3",0.6630096725227016,0.6493951046765283,0.049244537232091726
"สพป.ศรีสะเกษ เขต 4",0.6804723058093486,0.6656524338949841,0.05930476604255715
"สพป.สกลนคร เขต 1",0.687666541053274,0.6692427254095215,0.06404113928123654
"สพป.สกลนคร เขต 2",0.6861005478033066,0.6624738722380212,0.07462630341436939
"สพป.สกลนคร เขต 3",0.7196582388983385,0.687960440521397,0.09440789004998168
"สพป.สงขลา เขต 1",0.6778544514545257,0.6569574366677763,0.07122154189870283
"สพป.สงขลา เขต 2",0.6613045403213406,0.6557475215402069,0.03762977295910688
"สพป.สงขลา เขต 3",0.6866951928285482,0.6780508566586815,0.0604320176772314
"สพป.สตูล",0.6908984641361043,0.6916518587626136,0.06352065291102987
"สพป.สมุทรปราการ เขต 1",0.7068800850606338,0.667547040942204,0.09395571673501685
"สพป.สมุทรปราการ เขต 2",0.6912291112131616,0.6912291112131616,0.08745047782465015
"สพป.สมุทรสงคราม",0.7552095120019843,0.7732969305413262,0.07623466116418395
"สพป.สมุทรสาคร",0.6607430328976793,0.6437443971673925,0.0383556751340377
"สพป.สระบุรี เขต 1",0.7221913871524316,0.7144777438731846,0.06853051917567902
"สพป.สระบุรี เขต 2",0.6816426597915567,0.6574483370395198,0.07338788623095331
"สพป.สระแก้ว เขต 1",0.6780340728489388,0.665534668818929,0.054908762714616054
"สพป.สระแก้ว เขต 2",0.6680853630626181,0.6514439984889722,0.06648890607008927
"สพป.สิงห์บุรี",0.707055341722456,0.7031305345215251,0.07020437198394044
"สพป.สุพรรณบุรี เขต 1",0.6597198710928329,0.6243085697532366,0.06665881737501111
"สพป.สุพรรณบุรี เขต 2",0.6758768251636308,0.6738005929481522,0.043757767622316014
"สพป.สุพรรณบุรี เขต 3",0.676869233876553,0.6582537802830924,0.06356458487599709
"สพป.สุราษฎร์ธานี เขต 1",0.6935140120345887,0.6691709877740307,0.0752087301579323
"สพป.สุราษฎร์ธานี เขต 2",0.6803254169278191,0.6734072845224969,0.0550851814219104
"สพป.สุราษฎร์ธานี เขต 3",0.6766679086003347,0.6680034885199222,0.0546555159039121
"สพป.สุรินทร์ เขต 1",0.6596310907359316,0.6514159831133404,0.04598332343462538
"สพป.สุรินทร์ เขต 2",0.6695641757739853,0.6653636457271751,0.04489258527067525
"สพป.สุรินทร์ เขต 3",0.6755996475397918,0.6641674336932055,0.0553022831161646
"สพป.สุโขทัย เขต 1",0.6980202741994423,0.6819512192419509,0.07277004247379278
"สพป.สุโขทัย เขต 2",0.6741925298055912,0.6663364511680959,0.060135013453963396
"สพป.หนองคาย เขต 1",0.7129844345286667,0.6955921620176859,0.07837387127796158
"สพป.หนองคาย เขต 2",0.6624816446541643,0.650591476904707,0.04853666782707632
"สพป.หนองบัวลำภู เขต 1",0.6970892062104932,0.6795711144367937,0.0813212630663745
"สพป.หนองบัวลำภู เขต 2",0.7286296645494181,0.7132890537881464,0.07866974100888187
"สพป.อำนาจเจริญ",0.7066360832588067,0.6977291484645913,0.06421203108867674
"สพป.อุดรธานี เขต 1",0.7145118918166339,0.6978086455503597,0.07954610341049002
"สพป.อุดรธานี เขต 2",0.6751231673848387,0.6719561569298141,0.05228858782631642
"สพป.อุดรธานี เขต 3",0.7052174071751981,0.6875816333019242,0.075097809467696
"สพป.อุดรธานี เขต 4",0.7289466378935883,0.7134730876884177,0.07670649545914468
"สพป.อุตรดิตถ์ เขต 1",0.6962052222034589,0.6741139832024814,0.08550066704734215
"สพป.อุตรดิตถ์ เขต 2",0.7074591966758785,0.6971442024264155,0.07955898697728112
"สพป.อุทัยธานี เขต 1",0.6537849539171525,0.6386651975634523,0.0529935489650618
"สพป.อุทัยธานี เขต 2",0.6875061256969954,0.6717521619676754,0.06603887811425266
"สพป.อุบลราชธานี เขต 1",0.6765223087071112,0.6633112233788829,0.0546069442769956
"สพป.อุบลราชธานี เขต 2",0.6815604960173188,0.6615807419169085,0.06697751313315607
"สพป.อุบลราชธานี เขต 3",0.7013639375303506,0.6922503860415947,0.06808638709191776
"สพป.อุบลราชธานี เขต 4",0.7007294084814664,0.6948955168500203,0.06982432577475178
"สพป.อุบลราชธานี เขต 5",0.7035730331831406,0.7024744056545207,0.06184336666576388
"สพป.อ่างทอง",0.7361960772907391,0.734822057894447,0.07580980412937617
"สพป.เชียงราย เขต 1",0.7122426021946667,0.6912696245405796,0.08793924079508952
"สพป.เชียงราย เขต 2",0.7048266259544643,0.6788301155637284,0.08371785185288563
"สพป.เชียงราย เขต 3",0.6986670320297483,0.6847529131582472,0.07488454365806015
"สพป.เชียงราย เขต 4",0.7680159854135753,0.7564761976506696,0.10760939087185448
"สพป.เชียงใหม่ เขต 1",0.6790951455551942,0.6419860947288749,0.075294440171667
"สพป.เชียงใหม่ เขต 2",0.690950629166833,0.6721241613814135,0.07462625316941597
"สพป.เชียงใหม่ เขต 3",0.7330929226808771,0.7396541116733828,0.08875883680121148
"สพป.เชียงใหม่ เขต 4",0.6904896028574076,0.6627486687722686,0.09376381990651785
"สพป.เชียงใหม่ เขต 5",0.7813106139596794,0.77746868045341,0.08775225976799854
"สพป.เชียงใหม่ เขต 6",0.7047872241149853,0.6844137327496734,0.07807700235665758
"สพป.เพชรบุรี เขต 1",0.7202312330004207,0.6899353677335575,0.09410403802481598
"สพป.เพชรบุรี เขต 2",0.6805429851146371,0.6643391818272986,0.06758760558604701
"สพป.เพชรบูรณ์ เขต 1",0.737409644475721,0.7268383340924554,0.0793236090265405
"สพป.เพชรบูรณ์ เขต 2",0.7358018757045821,0.7206103757139093,0.08491632673554461
"สพป.เพชรบูรณ์ เขต 3",0.7283400271861196,0.7228204444143682,0.0772443858334524
"สพป.เลย เขต 1",0.7303622194492351,0.7317071925204389,0.08655320715398122
"สพป.เลย เขต 2",0.6811391042805378,0.6650440986242425,0.06527998400259645
"สพป.เลย เขต 3",0.698269941319867,0.6729593990733127,0.07735904669403058
"สพป.แพร่ เขต 1",0.6333876574265247,0.6333876574265247,0.006307132507326655
"สพป.แพร่ เขต 2",0.692579141851615,0.6553650288671896,0.09448525876304215
"สพป.แม่ฮ่องสอน เขต 1",0.6982169385150901,0.6847632769077396,0.07490556374550375
"สพป.แม่ฮ่องสอน เขต 2",0.7352456830520824,0.7273417362799538,0.08250468263354538
